Year-Month,no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,rh_extremes_minimum,mean_sunshine_hrs,mean_temp,Fatalities
1989-10-01,16,111.0,24.9,51,5.5,27.1,
1989-11-01,20,508.4,148.6,56,5.4,26.7,
1989-12-01,18,179.7,44.2,58,4.8,26.3,
1990-01-01,13,147.4,73.9,52,5.3,26.2,
1990-02-01,8,24.1,6.6,38,8.9,27.6,
1990-03-01,4,94.2,48.6,39,8.3,28.2,
1990-04-01,10,52.4,12.0,44,6.3,28.5,
1990-05-01,11,180.1,153.7,45,6.5,28.6,
1990-06-01,9,112.6,76.1,46,6.3,28.3,
1990-07-01,12,124.0,44.5,53,5.9,27.5,
1990-08-01,13,146.6,38.3,46,5.8,28.0,
1990-09-01,17,204.5,44.5,39,5.1,27.2,
1990-10-01,12,56.4,20.2,50,5.9,27.5,
1990-11-01,17,180.4,46.9,49,4.6,27.2,
1990-12-01,16,201.1,33.5,58,5.5,26.3,
1991-01-01,13,123.9,36.2,50,5.6,26.7,
1991-02-01,7,45.5,17.9,51,7.0,27.1,
1991-03-01,10,92.4,48.6,50,7.1,27.8,
1991-04-01,13,134.2,32.2,49,5.8,27.7,
1991-05-01,23,256.4,44.0,57,5.1,27.7,
1991-06-01,9,88.7,55.6,56,7.1,28.6,
1991-07-01,8,37.3,10.7,44,6.7,28.5,
1991-08-01,8,226.2,129.9,43,5.3,28.2,
1991-09-01,12,123.1,53.6,58,4.1,27.5,
1991-10-01,5,52.0,20.4,40,4.2,27.5,
1991-11-01,19,205.0,75.2,53,3.5,26.3,
1991-12-01,19,492.3,79.4,61,3.0,25.6,
1992-01-01,9,83.9,56.2,55,6.6,26.6,
1992-02-01,4,62.4,43.2,49,7.7,27.5,
1992-03-01,6,67.6,35.1,54,7.4,28.2,
1992-04-01,13,160.3,94.7,44,6.4,28.4,
1992-05-01,13,63.1,13.7,53,5.7,28.1,
1992-06-01,14,162.8,38.4,52,5.5,28.0,
1992-07-01,19,290.8,97.3,55,4.7,27.3,
1992-08-01,11,76.1,31.0,46,5.7,27.8,
1992-09-01,13,83.6,17.5,45,5.0,27.3,
1992-10-01,20,233.2,45.5,48,4.5,27.4,
1992-11-01,18,474.3,120.6,59,3.7,26.1,
1992-12-01,23,502.7,105.7,60,3.4,25.5,
1993-01-01,11,176.4,37.2,58,5.5,26.2,
1993-02-01,8,69.2,27.0,50,8.5,26.7,
1993-03-01,14,250.5,56.9,56,5.4,26.7,
1993-04-01,20,283.9,56.7,51,6.4,27.6,
1993-05-01,10,129.9,37.2,46,6.0,28.2,
1993-06-01,17,115.5,29.4,50,6.2,28.5,
1993-07-01,15,240.0,46.4,52,5.2,27.9,
1993-08-01,11,106.8,53.5,51,7.4,28.6,
1993-09-01,7,61.7,42.0,45,5.9,27.9,
1993-10-01,13,175.5,62.7,51,5.2,27.5,
1993-11-01,18,250.8,61.3,57,4.7,26.9,
1993-12-01,19,308.5,67.6,57,4.2,26.5,
1994-01-01,7,56.9,17.5,50,6.1,26.9,
1994-02-01,15,133.5,26.3,53,6.4,27.0,
1994-03-01,19,288.2,64.2,55,3.5,26.8,
1994-04-01,15,154.0,46.3,54,5.8,27.9,
1994-05-01,16,169.6,45.1,52,5.0,28.1,
1994-06-01,14,184.7,61.1,55,6.0,28.1,
1994-07-01,6,53.8,17.0,53,7.6,28.4,
1994-08-01,12,45.1,15.5,52,6.5,28.1,
1994-09-01,6,23.7,11.3,37,3.8,28.3,
1994-10-01,11,84.7,35.4,43,4.5,27.9,
1994-11-01,21,322.2,178.3,58,4.5,26.7,
1994-12-01,18,425.4,133.8,58,5.3,26.9,
1995-01-01,21,349.4,108.3,59,5.0,26.8,
1995-02-01,16,334.0,159.3,60,4.9,26.5,
1995-03-01,10,67.7,31.1,54,5.9,27.6,
1995-04-01,16,242.3,73.6,53,5.6,27.9,
1995-05-01,11,84.4,32.8,54,6.0,28.5,
1995-06-01,12,63.7,45.0,51,6.6,28.9,
1995-07-01,13,173.6,52.3,58,5.2,28.0,
1995-08-01,21,211.6,37.9,58,4.1,27.4,
1995-09-01,7,29.5,5.7,51,5.8,28.3,
1995-10-01,12,101.1,37.1,45,4.7,27.8,
1995-11-01,20,372.8,198.6,51,3.7,27.0,
1995-12-01,20,302.5,55.6,58,3.1,26.3,
1996-01-01,10,173.2,39.0,54,5.2,26.2,
1996-02-01,11,180.2,53.0,52,5.8,26.5,
1996-03-01,8,129.7,61.8,50,7.7,27.8,
1996-04-01,15,178.2,55.7,56,5.4,27.8,
1996-05-01,15,107.5,18.6,55,7.0,28.5,
1996-06-01,15,265.8,94.3,56,5.9,28.3,
1996-07-01,10,162.3,55.3,52,6.7,28.3,
1996-08-01,18,258.4,64.6,50,5.0,27.4,
1996-09-01,18,297.0,66.5,52,4.8,27.7,
1996-10-01,19,300.0,45.8,52,4.3,27.5,
1996-11-01,16,180.2,60.5,43,4.4,27.3,
1996-12-01,15,185.5,72.4,55,4.5,26.6,
1997-01-01,3,15.4,13.9,48,7.7,27.1,
1997-02-01,8,105.4,35.7,52,4.9,27.4,
1997-03-01,10,34.3,17.4,44,7.0,28.1,
1997-04-01,12,118.4,44.6,46,5.6,28.1,
1997-05-01,6,41.6,35.6,49,6.7,29.3,
1997-06-01,12,78.9,25.0,49,7.3,29.3,
1997-07-01,9,18.6,5.4,47,6.5,28.8,
1997-08-01,9,86.6,61.4,52,5.7,28.8,
1997-09-01,3,31.1,24.3,43,3.2,28.8,
1997-10-01,8,78.4,36.5,49,3.2,28.2,
1997-11-01,13,158.3,53.6,50,5.4,27.8,
1997-12-01,23,351.9,65.8,50,5.3,27.3,
1998-01-01,13,268.8,79.7,53,7.4,28.0,
1998-02-01,5,32.5,11.9,50,8.9,28.9,
1998-03-01,7,58.8,20.9,47,7.6,29.5,
1998-04-01,13,187.7,64.9,53,6.7,29.2,
1998-05-01,18,370.8,83.7,53,5.9,29.4,
1998-06-01,15,198.8,42.8,50,5.3,28.6,
1998-07-01,18,259.2,55.8,51,5.1,28.1,
1998-08-01,18,195.0,35.5,56,4.6,27.5,
1998-09-01,17,258.2,52.0,47,4.5,27.9,
1998-10-01,20,222.7,32.4,48,5.0,28.0,
1998-11-01,11,107.2,57.5,49,4.6,27.9,
1998-12-01,22,463.4,84.4,55,3.1,26.6,
1999-01-01,19,193.9,52.5,60,3.9,26.6,
1999-02-01,9,67.4,32.1,58,6.7,27.2,
1999-03-01,16,181.4,52.4,56,4.3,27.1,
1999-04-01,14,88.5,29.2,46,5.8,28.3,
1999-05-01,13,157.1,42.8,52,5.7,28.0,
1999-06-01,13,103.4,34.5,54,6.0,28.2,
1999-07-01,11,225.4,51.4,56,6.8,27.8,
1999-08-01,13,204.0,42.4,51,5.7,27.5,
1999-09-01,13,125.9,41.5,50,6.5,27.9,
1999-10-01,20,205.0,32.8,53,4.7,27.2,
1999-11-01,19,241.5,39.0,47,4.7,27.3,
1999-12-01,17,340.5,76.9,56,4.1,26.8,
2000-01-01,14,275.2,127.6,60,4.0,26.3,
