Year-Month,no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,rh_extremes_minimum,mean_sunshine_hrs,mean_temp,Fatalities
2022-08-01,15,141.4,32.4,50,5.5,28.1,1.0
2022-09-01,14,121.0,38.2,52,3.8,27.9,
2022-10-01,27,279.0,38.8,47,3.5,27.6,
2022-11-01,26,313.8,53.0,46,3.8,27.4,
2022-12-01,19,215.4,37.0,52,3.6,26.8,1.0
2023-01-01,22,302.6,72.0,43,4.4,26.5,1.0
2023-02-01,13,324.4,154.8,50,5.1,26.9,2.0
2023-03-01,12,243.4,90.2,52,6.0,27.1,
2023-04-01,19,222.8,85.8,57,5.8,28.5,1.0
2023-05-01,11,112.8,34.6,43,6.6,29.5,1.0
2023-06-01,15,228.4,51.6,41,6.3,29.0,2.0
2023-07-01,14,158.0,51.4,42,5.8,28.7,
2023-08-01,12,114.0,24.4,48,6.6,28.7,
2023-09-01,10,133.0,47.8,42,5.7,28.7,
2023-10-01,10,96.6,38.4,37,7.2,29.0,
2023-11-01,19,219.0,71.4,41,4.6,27.9,
2023-12-01,23,256.2,57.6,52,3.6,27.3,
2024-01-01,21,499.6,80.6,53,4.3,26.8,
